@relation handgrasp_object_detection

@attribute T_y real
@attribute T_p real
@attribute T_r real
@attribute I_y real
@attribute I_p real
@attribute I_r real
@attribute M_y real
@attribute M_p real
@attribute M_r real
@attribute R_y real
@attribute R_p real
@attribute R_r real
@attribute P_y real
@attribute P_p real
@attribute P_r real
@attribute B_y real
@attribute B_p real
@attribute B_r real
@attribute Class {bottle_hold,pen_hold,cup_carry,phone_answer,unleash_pen,screw_driver}

@data
237.69, 75.93, -17.41, 220.04, 68.35, -6.02, 201.99, -28.37, 4.30, 246.12, 58.74, 3.69,234.29, 78.80, -48.54,247.26, 63.91, -64.45,bottle_hold
237.56, 75.96, -17.49, 219.92, 68.38, -6.00, 201.96, -28.39, 4.29, 246.03, 58.74, 3.59,234.28, 78.80, -48.53,247.28, 63.91, -64.43,bottle_hold
237.49, 75.97, -17.48, 219.80, 68.41, -6.01, 201.94, -28.38, 4.27, 245.97, 58.77, 3.50,234.39, 78.79, -48.39,247.29, 63.91, -64.41,bottle_hold
237.44, 75.99, -17.48, 219.71, 68.46, -5.97, 201.93, -28.37, 4.25, 245.94, 58.78, 3.50,234.46, 78.79, -48.32,247.29, 63.92, -64.40,bottle_hold
237.40, 76.03, -17.46, 219.61, 68.54, -5.95, 201.89, -28.38, 4.26, 245.90, 58.75, 3.51,234.52, 78.81, -48.25,247.30, 63.92, -64.38,bottle_hold
237.21, 76.08, -17.60, 219.40, 68.55, -6.04, 201.87, -28.40, 4.26, 245.93, 58.68, 3.63,234.50, 78.81, -48.24,247.27, 63.93, -64.41,bottle_hold
236.93, 76.14, -17.82, 219.25, 68.54, -6.09, 201.84, -28.41, 4.27, 245.87, 58.71, 3.60,234.65, 78.78, -48.06,247.27, 63.94, -64.41,bottle_hold
236.90, 76.16, -17.77, 219.06, 68.51, -6.17, 201.82, -28.41, 4.27, 245.82, 58.72, 3.61,234.63, 78.78, -48.07,247.29, 63.93, -64.39,bottle_hold
236.92, 76.18, -17.67, 218.89, 68.51, -6.23, 201.77, -28.43, 4.27, 245.57, 58.67, 3.41,234.48, 78.74, -48.26,247.19, 63.98, -64.41,bottle_hold
236.78, 76.25, -17.70, 218.94, 68.50, -6.00, 201.74, -28.43, 4.26, 245.57, 58.74, 3.54,234.51, 78.75, -48.18,247.18, 64.00, -64.41,bottle_hold
236.77, 76.26, -17.66, 218.90, 68.47, -5.92, 201.73, -28.42, 4.26, 245.61, 58.75, 3.64,234.40, 78.76, -48.27,247.14, 64.02, -64.45,bottle_hold
236.70, 76.27, -17.67, 218.78, 68.47, -5.93, 201.72, -28.44, 4.25, 245.46, 58.79, 3.49,234.11, 78.80, -48.54,247.16, 64.00, -64.42,bottle_hold
236.68, 76.25, -17.63, 218.75, 68.48, -5.83, 201.68, -28.51, 4.23, 245.47, 58.77, 3.55,234.38, 78.80, -48.23,247.22, 63.97, -64.33,bottle_hold
236.68, 76.28, -17.57, 218.62, 68.49, -5.80, 201.61, -28.61, 4.19, 245.37, 58.69, 3.49,234.40, 78.76, -48.18,247.13, 63.99, -64.33,bottle_hold
236.21, 76.39, -17.88, 218.41, 68.55, -5.82, 201.55, -28.60, 4.16, 245.34, 58.68, 3.54,234.47, 78.81, -48.02,247.10, 64.01, -64.33,bottle_hold
235.99, 76.44, -18.03, 218.39, 68.57, -5.70, 201.55, -28.57, 4.17, 245.31, 58.68, 3.55,233.97, 78.86, -48.56,247.08, 64.04, -64.36,bottle_hold
235.85, 76.47, -18.13, 218.20, 68.59, -5.83, 201.56, -28.54, 4.15, 245.23, 58.77, 3.45,233.67, 78.88, -48.86,247.07, 64.03, -64.39,bottle_hold
235.62, 76.46, -18.33, 218.01, 68.60, -5.95, 201.55, -28.51, 4.12, 245.18, 58.82, 3.42,233.42, 78.89, -49.11,247.06, 64.05, -64.41,bottle_hold
235.48, 76.46, -18.43, 217.80, 68.62, -6.10, 201.52, -28.52, 4.12, 245.15, 58.83, 3.41,233.36, 78.89, -49.14,247.05, 64.04, -64.42,bottle_hold
235.30, 76.48, -18.56, 217.57, 68.62, -6.25, 201.52, -28.52, 4.11, 245.20, 58.76, 3.54,233.13, 78.91, -49.35,247.03, 64.04, -64.45,bottle_hold
